,jobTitle,companyName,location,date,page,job,salary
0,STAGE- Data Scientist & Data Analyst - F/H,Thales,31000 Toulouse,PostedOffre publiée il y a 12 jour,35,525,
1,Data Analyst F/H,Aquitem,Télétravail hybride à Le Bouscat (33),PostedOffre publiée il y a plus de 30 jours,35,526,
2,STAGE – Data Analyst en Finance - Digitalisation (F/H),Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a 18 jour,35,527,
3,APPRENTI(E) DATA SCIENTIST AUPRÈS DU DÉPARTEMENT « SYSTÈMES D'INFORMATION ET SCIENCE DES DONNÉES »,Caisse des Dépôts,Paris (75),PostedOffre publiée il y a plus de 30 jours,35,528,
4,Data Analyst Acquisition Clients - BoursoBank,Boursorama,Télétravail hybride à Boulogne-Billancourt (92),PostedOffre publiée il y a plus de 30 jours,35,529,
5,Chargé de Marketing data et analytics (F/H/X),INFOPRO DIGITAL,Télétravail hybride à 92160 Antony,EmployerEmployeur actif il y a 3 jours,35,530,
6,Consultant(e) Data Analytics H/F,mc2i,75008 Paris,PostedOffre publiée il y a plus de 30 jours,35,531,
7,ANALYSTE DATA - Nogent Sur Seine 10,informatis-ts,Nogent-sur-Seine (10),PostedOffre publiée il y a plus de 30 jours,35,532,
8,Data Analyst - Paris - Start-up,Sept Lieues,Paris 17e (75),PostedOffre publiée il y a 23 jour,35,533,De 55 000 € à 65 000 € par an
9,Data Analyst (F/H),Natixis,75013 Paris,PostedOffre publiée il y a plus de 30 jours,35,534,
10,STAGE - Ingénieur.e Développement en Data Sciences - H/F,Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a plus de 30 jours,35,535,
11,Data Analyste (H/F),Nextt,Paris (75),PostedOffre publiée il y a plus de 30 jours,35,536,De 50 000 € à 60 000 € par an
12,Data Analyst Tableau - H/F,Lincoln,Boulogne-Billancourt (92),PostedOffre publiée il y a plus de 30 jours,35,537,
13,Data Analyst H/F,Apside,Boulogne-Billancourt (92),PostedOffre publiée il y a plus de 30 jours,35,538,
14,Stagiaire développeur DATA Analytics,G2S,Télétravail hybride à 78000 Versailles,EmployerEmployeur actif il y a 2 jours,35,539,De 450 € à 1 000 € par mois
15,Data analyst - marchÃ©s financiers H/F,AMF - AutoritÃ© des MarchÃ©s financiers,Paris (75),PostedOffre publiée il y a plus de 30 jours,36,540,
16,Stage Data analyst H/F,AMF,Paris (75),PostedOffre publiée il y a 5 jour,36,541,
17,Data Analyst H/F,Capgemini,Aix-en-Provence (13),PostedOffre publiée il y a 16 jour,36,542,
18,Data Scientist / Modélisation systèmes complexes - Stage H/F,Assystem,92400 Courbevoie,PostedOffre publiée il y a 12 jour,36,543,
19,Consultant Power BI - Data Analyst F/H,Actinvision,Télétravail hybride à 69003 Lyon 3e,EmployerEmployeur actif il y a 3 jours,36,544,À partir de 34 000 € par an
20,consultant informatique.e Data analyste informatique (IT) / Freelance,Symbioz Technology,Paris (75),PostedOffre publiée il y a plus de 30 jours,36,545,De 400 € à 550 € par jour
21,Internship - Financial Data Analyst - (M/F) - January 2024,AXA,Puteaux (92),PostedOffre publiée il y a 9 jour,36,546,
22,Informaticien / Data Analyste - PARIS 12,informatis-ts,Paris 12e (75),PostedOffre publiée il y a plus de 30 jours,36,547,
23,Senior Data Analyst / Head of CoE Performance,Renault Group,Paris (75),PostedOffre publiée il y a plus de 30 jours,36,548,
24,Analyste développeur - data scientist (H/F),Euro Information,67000 Strasbourg,PostedOffre publiée il y a plus de 30 jours,36,549,De 34 000 € à 50 000 € par an
25,Business Data Analyst / Product Owner H/F,SMART TEEM,Télétravail hybride à 92500 Rueil-Malmaison,EmployerEmployeur actif il y a 6 jours,36,550,De 47 000 € à 65 000 € par an
26,Data Scientist Senior,Skello,Paris (75),PostedOffre publiée il y a plus de 30 jours,36,551,
27,STAGE - Analyste de données - voyages et notes de frais - H/F,Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a plus de 30 jours,36,552,
28,Analyste Performance H/F (Data Scientist),ColisPrive,Marseille (13),PostedOffre publiée il y a plus de 30 jours,36,553,
29,Data Science / AI Engineer,Schlumberger,Clamart (92),PostedOffre publiée il y a 2 jour,36,554,
30,Business analyste informatique / architecte informatique Data (IT) / Freelance,OLYMPP,Paris (75),PostedOffre publiée il y a plus de 30 jours,37,555,De 470 € à 600 € par jour
31,Data Analyst H/F,Perenco,75017 Paris,PostedOffre publiée il y a plus de 30 jours,37,556,
32,Stage - Operations Data Analyst (F/H),Bouygues Telecom,92100 Boulogne-Billancourt,PostedOffre publiée il y a 12 jour,37,557,
33,Data Scientist H/F,Inetum,Lille (59),PostedOffre publiée il y a plus de 30 jours,37,558,
34,Data Scientist Senior - R&D,Numberly,75009 Paris,PostedOffre publiée il y a plus de 30 jours,37,559,
35,Lyon – Data Analyst – H/F,Alten,Lyon (69)+1 location,PostedOffre publiée il y a plus de 30 jours,37,560,
36,Lead Data Scientist/ Expert NLP - H/F,Smily RH,Paris (75),PostedOffre publiée il y a 3 jour,37,561,De 65 000 € à 85 000 € par an
37,#AxiansAlternance - Développeur.se Data Scientist - Intelligence artificielle (IA) F/H,VINCI Energies,94200 Ivry-sur-Seine,PostedOffre publiée il y a plus de 30 jours,37,562,
38,DATA ANALYST H/F – COD ( 36 mois),Unicancer,Paris (75),PostedOffre publiée il y a plus de 30 jours,37,563,
39,Analyst data hospitality Manager H/F,Louvre Hôtels,Télétravail hybride à La Défense (92),PostedOffre publiée il y a plus de 30 jours,37,564,
40,Lead Data Science,France Télévisions,Paris (75),PostedOffre publiée il y a plus de 30 jours,37,565,
41,Production Data Analyst,EssilorLuxottica,Antony (92),PostedOffre publiée il y a 12 jour,37,566,
42,Data Science Architect,Seargin,Eu (76),PostedOffre publiée il y a plus de 30 jours,37,567,
43,Data quality analyst - h/f,FREE RESEAU,75008 Paris,PostedOffre publiée il y a plus de 30 jours,37,568,
44,Data Analyst,Fideliz,75009 Paris,PostedOffre publiée il y a plus de 30 jours,37,569,
45,CONSULTANT DATA ANALYTICS,Kéoni Consulting,Paris (75),EmployerEmployeur actif il y a 11 jours,38,570,De 2 000 € à 4 000 € par mois
46,Alternance – Data Analyste Achats H/F,Transdev,Issy-les-Moulineaux (92),PostedOffre publiée il y a plus de 30 jours,38,571,
47,CHARGÉ.E D'ÉTUDES D'ÉVALUATION (DATA ANALYST/SCIENTIST),Up skills,75013 Paris 13e,PostedOffre publiée il y a plus de 30 jours,38,572,De 30 000 € à 35 000 € par an
48,Stagiaire Data & Analytics F/H,Deloitte,La Défense (92),PostedOffre publiée il y a plus de 30 jours,38,573,
49,ANALYSTE DE DONNEES COMPTABLES H/F,Groupe Agrica,Paris (75),PostedOffre publiée il y a plus de 30 jours,38,574,
50,STAGE EN DÉVELOPPEMENT ET DATA ANALYST (H/F),Airbus,Vitrolles (13),PostedOffre publiée il y a 5 jour,38,575,
51,Data Analyst - Marketing Editorial (H/F) - ALTERNANCE,Groupe Cerise,Gennevilliers (92),PostedOffre publiée il y a 16 jour,38,576,
52,"Ingénieur IA, Data Analyse",Scalian,Paris (75),PostedOffre publiée il y a plus de 30 jours,38,577,
53,Data Analyst H/F,DCS GROUP,Télétravail hybride à Clermont-Ferrand (63),EmployerEmployeur actif il y a 4 jours,38,578,
54,Consultant(e) Data Analyst,SOCIO DATA MANAGEMENT,Paris (75),PostedOffre publiée il y a plus de 30 jours,38,579,
55,Ingénieur en science des données H/F,IFPEN,Rueil-Malmaison (92),PostedOffre publiée il y a plus de 30 jours,38,580,
56,CHEF DE PROJET INNOVANTS – AI – WEB3 – DATA ANALYTICS (H/F),Ayming,Télétravail hybride à Levallois-Perret (92)+1 location,PostedOffre publiée il y a 26 jour,38,581,
57,STAGE - Ecosystème Scientifique - Data analysis and data design(H/F),Dassault Systèmes,Vélizy-Villacoublay (78),PostedOffre publiée il y a plus de 30 jours,38,582,
58,Data Analyst Intern,Aircall,Paris (75),PostedOffre publiée il y a plus de 30 jours,38,583,
59,Data Scientist Confirmé - Grenoble H/F,Business & Decision,Grenoble (38),PostedOffre publiée il y a plus de 30 jours,38,584,
60,Consultant(e)s Stagiaires en Data & Analytics et Innovation - Secteur financier (H/F),ey,92037 La Défense,PostedOffre publiée il y a plus de 30 jours,39,585,
61,Data Scientist / Informatique Quantique - Stage H/F,Assystem,92400 Courbevoie,PostedOffre publiée il y a 11 jour,39,586,
62,STAGE - Data Scientist (F/H),alteca,Lyon (69),PostedOffre publiée il y a plus de 30 jours,39,587,
63,Data Analyst H/F,DCS EASYWARE,Télétravail hybride à 63000 Clermont-Ferrand,PostedOffre publiée il y a 5 jour,39,588,
