,jobTitle,companyName,location,salary,date,page,job
0,Data Analyst H/F,OKAIDI,59100 Roubaix,De 38 000 € à 45 000 € par an,PostedOffre publiée il y a plus de 30 jours,56,840
1,Stage - Ingénieur Data Scientist [Février 2024] F/H,Armor,44118 La Chevrolière,1 200 € par mois,PostedOffre publiée il y a 5 jour,56,841
2,Data analyste informatique Expert Compliance Télécoms H/F - Lyon / Paris (IT) / Freelance,LeHibou,Paris (75),550 € par jour,PostedOffre publiée il y a 5 jour,56,842
3,DATA WEB ANALYST,Harnham,Paris (75),De 40 000 € à 47 000 € par an,PostedOffre publiée il y a plus de 30 jours,56,843
4,Data analyste informatique Supply (IT) / Freelance,SKIILS SAS,Paris (75),,PostedOffre publiée il y a plus de 30 jours,56,844
5,Consultant(e) Data Science,Sia Partners,75008 Paris,,PostedOffre publiée il y a 10 jour,56,845
6,Stage Data Science H/F - Grenoble (stage pré-embauche),Business & Decision,Grenoble (38),,PostedOffre publiée il y a 5 jour,56,846
7,Data Analyst Senior,digiRocks,Paris (75),De 42 000 € à 57 000 € par an,PostedOffre publiée il y a 6 jour,56,847
8,Data Scientist / Data science engineer (End-of-studies Internship),Shift Technology,Paris (75),,PostedOffre publiée il y a plus de 30 jours,56,848
9,Lyon - Data Scientist Confirmé(e) - H/F,Lincoln,69009 Lyon,,PostedOffre publiée il y a plus de 30 jours,56,849
10,Consultant Data Visualization & Analytics,Excelcio,75011 Paris,,PostedOffre publiée il y a plus de 30 jours,56,850
11,Data analyste informatique - 3 mois renouvelable - Villeneuve d’Ascq (IT) / Freelance,NextLink Solutions,59491 Villeneuve-d'Ascq,De 450 € à 650 € par jour,PostedOffre publiée il y a 13 jour,56,851
12,Consultant junior en Data & Analytics pour le Secteur Financier FY24,ey,92037 La Défense,,PostedOffre publiée il y a plus de 30 jours,56,852
13,Actuarial Data Scientist (EMEA),Akur8,Paris (75),,EmployerEmployeur actif il y a 16 jours,56,853
14,Data Analyst Propulsion System,Airbus,Toulouse (31),,PostedOffre publiée il y a plus de 30 jours,56,854
15,Data Manager/Analyst Géologie et Mines H/F,Eramet,Télétravail hybride à Paris (75),,PostedOffre publiée il y a 5 jour,57,855
16,Data Analyst Dataiku H/F,Extia,Paris (75),,PostedOffre publiée il y a plus de 30 jours,57,856
17,STAGES PRE EMBAUCHE CONSULTANT DATA SCIENCE H-F,SQORUS,Télétravail hybride à 75009 Paris,,PostedOffre publiée il y a 5 jour,57,857
18,Data Analyst H/F,Novelis innovation,Paris (75),,PostedOffre publiée il y a plus de 30 jours,57,858
19,INGÉNIEUR EN INFORMATIQUE/DATA SCIENTIST (H/F),Bassetti,38000 Grenoble,,PostedOffre publiée il y a 13 jour,57,859
20,Senior Data Analyst Mobilisights,Stellantis,Poissy (78),,PostedOffre publiée il y a plus de 30 jours,57,860
21,Formateur/ice Google Analytics et Data Studio - Freelance,The BRIDGE Ecole Entreprises,Télétravail hybride à 92000 Nanterre,De 49 € à 50 € de l’heure,EmployerEmployeur actif il y a 6 jours,57,861
22,Data engineer / Data scientist Flux Vision F/H,Orange Business,35510 Cesson-Sévigné,,PostedOffre publiée il y a plus de 30 jours,57,862
23,Data Analyste (Tableau / Looker / MicroStrategy) CDI - H/F,Talan,Paris (75),,PostedOffre publiée il y a plus de 30 jours,57,863
24,Senior Consultant Data Analyste CDI (H/F),CIRCANA SCS (France),78240 Chambourcy,,PostedOffre publiée il y a plus de 30 jours,57,864
25,Data Analyst Senior H/F,Cosmospace,Sophia Antipolis (06),,EmployerEmployeur actif il y a 4 jours,57,865
26,Stage – Data Analyst & prevention leader – Bac+5 - Grenoble (Eybens) – F/H,Schneider Electric,Grenoble (38),,PostedOffre publiée il y a 6 jour,57,866
27,Data Analyst Manager H/F,Coloplast,Trélazé (49),,PostedOffre publiée il y a 13 jour,57,867
28,Consultant / Data Analyst Power BI H/F,JobXpert,13008 Marseille,De 40 000 € à 50 000 € par an,PostedOffre publiée il y a plus de 30 jours,57,868
29,Alternance - DATA Scientist - Bac + 5 - Grenoble - H/F,Schneider Electric,Grenoble (38),,PostedOffre publiée il y a plus de 30 jours,57,869
30,ANALYSTE DE DONNEES (H/F),Samsic Emploi - Paris 2 Tertiaire,Paris (75),30 000 € par an,PostedOffre publiée il y a 13 jour,58,870
31,Consultant Confirmé Data Scientist / Data Analyst (H/F),Epsilon France,59290 Wasquehal,,PostedOffre publiée il y a 27 jour,58,871
32,Data Analyst/Scientist - CDD F/H,CORUM L'EPARGNE,Télétravail hybride à 75008 Paris,,PostedOffre publiée il y a plus de 30 jours,58,872
33,ALTERNANCE - Ingénieur Data Analyst et Power BI,Saint Gobain,Vaujours (93),,PostedOffre publiée il y a plus de 30 jours,58,873
34,Data Analyst H/F,PEAKS,Aix-en-Provence (13),,PostedOffre publiée il y a plus de 30 jours,58,874
35,Alternance - Analyste Supply-Chain et Master Data F/H,Cobham Aerospace Communications,94150 Rungis,,PostedOffre publiée il y a 13 jour,58,875
36,INGENIEUR PHYSICIEN DATASCIENCE DEVELOPPEMENT LOGICIEL F/H CDI,Sodern,Limeil-Brévannes (94),,PostedOffre publiée il y a plus de 30 jours,58,876
37,Analyste – IT Data & Reporting - Stage de fin d'études en pré-embauche F/H,VINCI Construction,Nanterre (92),,PostedOffre publiée il y a plus de 30 jours,58,877
38,Data Manager/Analyst Process et Usines H/F,Eramet,Télétravail hybride à Paris (75),,PostedOffre publiée il y a 5 jour,58,878
39,Data Analyst- mid/senior,Fincons Group,Paris (75),,PostedOffre publiée il y a plus de 30 jours,58,879
40,Data Analyst H/F,Dynamis RH,Paris 17e (75),,PostedOffre publiée il y a plus de 30 jours,58,880
41,ALTERNANCE - Apprenti-e Data Engineer / Steward / Analyst F/H,Safran,Montereau-sur-le-Jard (77),,PostedOffre publiée il y a plus de 30 jours,58,881
42,Stage en Data Science,INTERSEC Group,Paris (75),,EmployerEmployeur actif il y a 1 jour,58,882
43,Marketing Data Analyst confirmé (H/F) | CDI,DATASCIENTEST,92800 Puteaux,,EmployerEmployeur actif il y a 25 jours,58,883
44,STAGIAIRE ANALYST DATA (LOB24-STA-SE-02),Lobellia,Paris (75),,PostedOffre publiée il y a 12 jour,58,884
45,Docteur Data science KDOCDS3,Kaisens Data,94120 Fontenay-sous-Bois,,EmployerEmployeur actif il y a 5 jours,59,885
46,INGENIEUR PHYSICIEN DATASCIENCE DEVELOPPEMENT LOGICIEL F/H CDI,Sodern,Limeil-Brévannes (94),,PostedOffre publiée il y a plus de 30 jours,59,886
47,Data analyst (4 jours envisageables de TT),accile,Lyon (69),,PostedOffre publiée il y a plus de 30 jours,59,887
48,Business Analyst DATA - H/F,Talan,Paris (75),,PostedOffre publiée il y a plus de 30 jours,59,888
49,Analyste – IT Data & Reporting - Stage de fin d'études en pré-embauche F/H,VINCI Construction,Nanterre (92),,PostedOffre publiée il y a plus de 30 jours,59,889
50,Data Analyst,AUSY,Télétravail hybride à 59290 Wasquehal,De 36 000 € à 48 000 € par an,PostedOffre publiée il y a 3 jour,59,890
51,Data Analyst F/H,Groupe BPCE,Croix (59),,PostedOffre publiée il y a 6 jour,59,891
52,Senior Data Scientist H/F,Betclic Group,33300 Bordeaux,,PostedOffre publiée il y a plus de 30 jours,59,892
53,Data Analyst (H/F),alteca,Nantes (44)+2 locations,,PostedOffre publiée il y a plus de 30 jours,59,893
54,Stage Développeur H/F – développement backend équipe Data Science,AT Internet,Mérignac (33),,PostedOffre publiée il y a 3 jour,59,894
55,ALTERNANCE - Ingénieur Data Analyst et Power BI,Saint Gobain,Vaujours (93),,PostedOffre publiée il y a plus de 30 jours,59,895
56,Data Analyst F/H,Michael Page,Marseille (13),,PostedOffre publiée il y a plus de 30 jours,59,896
57,Data Analyst - Pau,Paie & Rh Solutions,Télétravail hybride à 64000 Pau,,PostedOffre publiée il y a plus de 30 jours,59,897
58,Stagiaire Analyste Financier / Data,TP ICAP,Paris (75),,PostedOffre publiée il y a 17 jour,59,898
59,Stage - Siege Social - Industrial Sustainability Data Analyst H/F,Air Liquide,75007 Paris,,PostedOffre publiée il y a 30 jour,59,899
60,DATA ANALYST (F/H) - STAGE,Carrefour,Télétravail hybride à Massy (91)+1 location,,PostedOffre publiée il y a 4 jour,60,900
61,Stagiaire Data Scientist web scrapping H/F,IFIP - Institut du porc,35650 Le Rheu,,EmployerEmployeur actif il y a 4 jours,60,901
62,DATA ANALYST BATIMENT,Centre Scientifique et Technique du Bâtiment...,77420 Champs-sur-Marne,,PostedOffre publiée il y a plus de 30 jours,60,902
63,Contrôleur de gestion / data analyst (h/f) - Val de Fontenay (94),Banque Palatine,Paris (75),,PostedOffre publiée il y a plus de 30 jours,60,903
64,Data Analyst - Power BI (H/F),EDYCEM,85600 Montaigu,,PostedOffre publiée il y a 3 jour,60,904
65,Ingénieur data / analyst (nantes) - h/f,ATOL CONSEILS ET DEVELOPPEMENTS,44000 Nantes,,PostedOffre publiée il y a 3 jour,60,905
66,"BUSINESS ANALYST DATA, EXPERT, EXPERTE EN PRÉPARATION DES DONNÉES F/H",Caisse des Dépôts,Paris (75),,PostedOffre publiée il y a 24 jour,60,906
67,STAGIAIRE DATA ANALYST (LOB24-STA-SE-04),Lobellia,Paris (75),,PostedOffre publiée il y a 12 jour,60,907
68,Senior Game Data Analyst,Voodoo,Télétravail à Paris (75),,PostedOffre publiée il y a plus de 30 jours,60,908
69,"Data Scientist, Marketing Technologies",Homa,75008 Paris,,EmployerEmployeur actif il y a 18 jours,60,909
70,Stage Data Science H/F - Grenoble (stage pré-embauche),Business & Decision,Grenoble (38),,PostedOffre publiée il y a 5 jour,60,910
71,Permanent - Master data analyst,Tikehau Investment Management - Annonces,Paris (75),,PostedOffre publiée il y a plus de 30 jours,60,911
72,Stage – Data Analyst & prevention leader – Bac+5 - Grenoble (Eybens) – F/H,Schneider Electric,Grenoble (38),,PostedOffre publiée il y a 6 jour,60,912
73,Consultant(e) / Manager - Data Analytics & Automatisation - FAAS - Lille - H/F,EY,59042 Lille,,PostedOffre publiée il y a 17 jour,60,913
74,Data Analyst risque de crédit SAS (H/F),Groupe HLI,Nanterre (92),,PostedOffre publiée il y a plus de 30 jours,60,914
75,Analyste Données Clients / CRM Data Analyst - H/F,Homair Vacances,13090 Aix-en-Provence,À partir de 35 000 € par an,PostedOffre publiée il y a plus de 30 jours,61,915
76,BUSINESS DATA ANALYST CONFIRME F/H,Lobellia,Lyon (69),,PostedOffre publiée il y a plus de 30 jours,61,916
77,Lyon - Data Scientist Confirmé(e) - H/F,Lincoln,69009 Lyon,,PostedOffre publiée il y a plus de 30 jours,61,917
78,Alternance - DATA Scientist - Bac + 5 - Grenoble - H/F,Schneider Electric,Grenoble (38),,PostedOffre publiée il y a plus de 30 jours,61,918
79,Stage en Data Science,INTERSEC Group,Paris (75),,EmployerEmployeur actif il y a 1 jour,61,919
80,STAGIAIRE ANALYST DATA (LOB24-STA-SE-02),Lobellia,Paris (75),,PostedOffre publiée il y a 12 jour,61,920
81,DATA analyste informatique POWER BI (IT) / Freelance,UCASE CONSULTING,Paris (75),,PostedOffre publiée il y a plus de 30 jours,61,921
82,Business Analyst Data (F/H),Groupe BPCE,Télétravail hybride à Paris (75),,PostedOffre publiée il y a 9 jour,61,922
83,Business/Data Analyst - 2 ans d’expérience,happn,Télétravail hybride à Paris (75),,PostedOffre publiée il y a plus de 30 jours,61,923
84,Business Analyst – Master Data Management,AXA,Paris (75),,PostedOffre publiée il y a plus de 30 jours,61,924
85,Senior Data Scientist (Pricing Model / Revenue Optimization),Equativ,Télétravail hybride à Paris (75),,PostedOffre publiée il y a plus de 30 jours,61,925
